ID,Violation,Time,Evidence
Worker-132,"Gloves Missing, Goggles Missing",2026-01-17 06:32:39,violation_59cdcf29_0.jpg
Worker-453,"Gloves Missing, Goggles Missing",2026-01-17 06:32:40,violation_59cdcf29_30.jpg
Worker-939,"Gloves Missing, Goggles Missing",2026-01-17 06:32:45,violation_59cdcf29_60.jpg
Worker-518,"Helmet Missing, Vest Missing, Shoes Missing",2026-01-17 06:32:49,violation_59cdcf29_90.jpg
Worker-169,"Helmet Missing, Vest Missing, Goggles Missing, Shoes Missing",2026-01-17 06:32:54,violation_59cdcf29_120.jpg
Worker-651,"Helmet Missing, Vest Missing, Goggles Missing, Shoes Missing",2026-01-17 06:32:59,violation_59cdcf29_150.jpg
Worker-221,"Helmet Missing, Vest Missing, Goggles Missing, Shoes Missing",2026-01-17 06:33:04,violation_59cdcf29_180.jpg
Worker-406,"Helmet Missing, Vest Missing, Shoes Missing",2026-01-17 06:33:09,violation_59cdcf29_210.jpg
Worker-723,Goggles Missing,2026-01-17 06:33:14,violation_59cdcf29_240.jpg
Worker-407,Goggles Missing,2026-01-17 06:33:18,violation_59cdcf29_270.jpg
Worker-265,Goggles Missing,2026-01-17 06:33:23,violation_59cdcf29_300.jpg
Worker-677,"Vest Missing, Goggles Missing",2026-01-17 06:33:28,violation_59cdcf29_330.jpg
Worker-574,Goggles Missing,2026-01-17 06:33:37,violation_59cdcf29_390.jpg
Worker-630,Goggles Missing,2026-01-17 06:33:42,violation_59cdcf29_420.jpg
